longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-114.31,34.19,15.0,5612.0,1283.0,1015.0,472.0,1,66900.0
-114.47,34.4,19.0,7650.0,1901.0,1129.0,463.0,2,80100.0
-114.56,33.69,17.0,720.0,174.0,333.0,117.0,2,85700.0
-114.57,33.64,14.0,1501.0,337.0,515.0,226.0,3,73400.0
-114.57,33.57,20.0,1454.0,326.0,624.0,262.0,2,65500.0
-114.58,33.63,29.0,1387.0,236.0,671.0,239.0,3,74000.0
-114.58,33.61,25.0,2907.0,680.0,1841.0,633.0,3,82400.0
-114.59,34.83,41.0,812.0,168.0,375.0,158.0,2,48500.0
-114.59,33.61,34.0,4789.0,1175.0,3134.0,1056.0,2,58400.0
-114.6,34.83,46.0,1497.0,309.0,787.0,271.0,2,48100.0
-114.6,33.62,16.0,3741.0,801.0,2434.0,824.0,3,86500.0
-114.6,33.6,21.0,1988.0,483.0,1182.0,437.0,2,62000.0
-114.61,34.84,48.0,1291.0,248.0,580.0,211.0,2,48600.0
-114.61,34.83,31.0,2478.0,464.0,1346.0,479.0,3,70400.0
-114.63,32.76,15.0,1448.0,378.0,949.0,300.0,1,45000.0
-114.65,34.89,17.0,2556.0,587.0,1005.0,401.0,2,69100.0
-114.65,33.6,28.0,1678.0,322.0,666.0,256.0,3,94900.0
-114.65,32.79,21.0,44.0,33.0,64.0,27.0,1,25000.0
-114.66,32.74,17.0,1388.0,386.0,775.0,320.0,1,44000.0
-114.67,33.92,17.0,97.0,24.0,29.0,15.0,1,27500.0
-114.68,33.49,20.0,1491.0,360.0,1135.0,303.0,2,44400.0
-114.73,33.43,24.0,796.0,243.0,227.0,139.0,1,59200.0
-114.94,34.55,20.0,350.0,95.0,119.0,58.0,2,50000.0
-114.98,33.82,15.0,644.0,129.0,137.0,52.0,3,71300.0
-115.22,33.54,18.0,1706.0,397.0,3424.0,283.0,2,53500.0
-115.32,32.82,34.0,591.0,139.0,327.0,89.0,4,100000.0
-115.37,32.82,30.0,1602.0,322.0,1130.0,335.0,4,71100.0
-115.37,32.82,14.0,1276.0,270.0,867.0,261.0,2,80900.0
-115.37,32.81,32.0,741.0,191.0,623.0,169.0,2,68600.0
-115.37,32.81,23.0,1458.0,294.0,866.0,275.0,2,74300.0
-115.38,32.82,38.0,1892.0,394.0,1175.0,374.0,2,65800.0
-115.38,32.81,35.0,1263.0,262.0,950.0,241.0,2,67500.0
-115.39,32.76,16.0,1136.0,196.0,481.0,185.0,6,146300.0
-115.4,32.86,19.0,1087.0,171.0,649.0,173.0,3,113800.0
-115.4,32.7,19.0,583.0,113.0,531.0,134.0,2,95800.0
-115.41,32.99,29.0,1141.0,220.0,684.0,194.0,3,107800.0
-115.46,33.19,33.0,1234.0,373.0,777.0,298.0,1,40000.0
-115.48,32.8,21.0,1260.0,246.0,805.0,239.0,3,88500.0
-115.48,32.68,15.0,3414.0,666.0,2097.0,622.0,2,91200.0
-115.49,32.87,19.0,541.0,104.0,457.0,106.0,3,102800.0
-115.49,32.69,17.0,1960.0,389.0,1691.0,356.0,2,64000.0
-115.49,32.67,29.0,1523.0,440.0,1302.0,393.0,1,84700.0
-115.49,32.67,25.0,2322.0,573.0,2185.0,602.0,1,70100.0
-115.5,32.75,13.0,330.0,72.0,822.0,64.0,3,142500.0
-115.5,32.68,18.0,3631.0,913.0,3565.0,924.0,2,88400.0
-115.5,32.67,35.0,2159.0,492.0,1694.0,475.0,2,75500.0
-115.51,33.24,32.0,1995.0,523.0,1069.0,410.0,2,43300.0
-115.51,33.12,21.0,1024.0,218.0,890.0,232.0,2,46700.0
-115.51,32.99,20.0,1402.0,287.0,1104.0,317.0,2,63700.0
-115.51,32.68,11.0,2872.0,610.0,2644.0,581.0,3,72700.0
-115.52,34.22,30.0,540.0,136.0,122.0,63.0,1,42500.0
-115.52,33.13,18.0,1109.0,283.0,1006.0,253.0,2,53400.0
-115.52,33.12,38.0,1327.0,262.0,784.0,231.0,2,60800.0
-115.52,32.98,32.0,1615.0,382.0,1307.0,345.0,1,58600.0
-115.52,32.97,24.0,1617.0,366.0,1416.0,401.0,2,66400.0
-115.52,32.97,10.0,1879.0,387.0,1376.0,337.0,2,67500.0
-115.52,32.77,18.0,1715.0,337.0,1166.0,333.0,2,79200.0
-115.52,32.73,17.0,1190.0,275.0,1113.0,258.0,2,63100.0
-115.52,32.67,6.0,2804.0,581.0,2807.0,594.0,2,67700.0
-115.53,34.91,12.0,807.0,199.0,246.0,102.0,3,40000.0
-115.53,32.99,25.0,2578.0,634.0,2082.0,565.0,2,62200.0
-115.53,32.97,35.0,1583.0,340.0,933.0,318.0,2,70700.0
-115.53,32.97,34.0,2231.0,545.0,1568.0,510.0,2,60300.0
-115.53,32.73,14.0,1527.0,325.0,1453.0,332.0,2,61200.0
-115.54,32.99,23.0,1459.0,373.0,1148.0,388.0,2,69400.0
-115.54,32.99,17.0,1697.0,268.0,911.0,254.0,4,96000.0
-115.54,32.98,27.0,1513.0,395.0,1121.0,381.0,2,60600.0
-115.54,32.97,41.0,2429.0,454.0,1188.0,430.0,3,70800.0
-115.54,32.79,23.0,1712.0,403.0,1370.0,377.0,1,60400.0
-115.55,32.98,33.0,2266.0,365.0,952.0,360.0,5,143000.0
-115.55,32.98,24.0,2565.0,530.0,1447.0,473.0,3,80800.0
-115.55,32.82,34.0,1540.0,316.0,1013.0,274.0,3,67500.0
-115.55,32.8,23.0,666.0,142.0,580.0,160.0,2,61000.0
-115.55,32.79,23.0,1004.0,221.0,697.0,201.0,2,59600.0
-115.55,32.79,22.0,565.0,162.0,692.0,141.0,1,53600.0
-115.55,32.78,5.0,2652.0,606.0,1767.0,536.0,3,84300.0
-115.56,32.96,21.0,2164.0,480.0,1164.0,421.0,4,107200.0
-115.56,32.8,28.0,1672.0,416.0,1335.0,397.0,2,59400.0
-115.56,32.8,25.0,1311.0,375.0,1193.0,351.0,2,63900.0
-115.56,32.8,15.0,1171.0,328.0,1024.0,298.0,1,69400.0
-115.56,32.79,20.0,2372.0,835.0,2283.0,767.0,1,62500.0
-115.56,32.79,18.0,1178.0,438.0,1377.0,429.0,1,58300.0
-115.56,32.78,46.0,2511.0,490.0,1583.0,469.0,3,70800.0
-115.56,32.78,35.0,1185.0,202.0,615.0,191.0,5,86200.0
-115.56,32.78,29.0,1568.0,283.0,848.0,245.0,3,76200.0
-115.56,32.76,15.0,1278.0,217.0,653.0,185.0,4,140300.0
-115.57,32.85,33.0,1365.0,269.0,825.0,250.0,3,62300.0
-115.57,32.85,17.0,1039.0,256.0,728.0,246.0,2,63500.0
-115.57,32.84,29.0,1207.0,301.0,804.0,288.0,2,61100.0
-115.57,32.83,31.0,1494.0,289.0,959.0,284.0,4,67500.0
-115.57,32.8,16.0,2276.0,594.0,1184.0,513.0,2,93800.0
-115.57,32.79,34.0,1152.0,208.0,621.0,208.0,4,73600.0
-115.57,32.78,20.0,1534.0,235.0,871.0,222.0,6,97200.0
-115.57,32.78,15.0,1413.0,279.0,803.0,277.0,4,87500.0
-115.58,33.88,21.0,1161.0,282.0,724.0,186.0,3,71700.0
-115.58,32.81,5.0,805.0,143.0,458.0,143.0,4,96300.0
-115.58,32.81,10.0,1088.0,203.0,533.0,201.0,4,87500.0
-115.58,32.79,14.0,1687.0,507.0,762.0,451.0,2,64400.0
-115.58,32.78,5.0,2494.0,414.0,1416.0,421.0,6,110100.0
-115.59,32.85,20.0,1608.0,274.0,862.0,248.0,5,90800.0
-115.59,32.79,8.0,2183.0,307.0,1000.0,287.0,6,159900.0
-115.59,32.69,30.0,935.0,177.0,649.0,148.0,3,94400.0
-115.6,33.2,37.0,709.0,187.0,390.0,142.0,2,72500.0
-115.6,32.87,3.0,1629.0,317.0,1005.0,312.0,4,83200.0
-115.62,33.04,20.0,1121.0,244.0,766.0,230.0,2,62000.0
-115.62,33.04,17.0,1009.0,231.0,745.0,217.0,2,61200.0
-115.64,32.8,23.0,1228.0,235.0,569.0,235.0,3,125000.0
-115.69,32.79,18.0,1564.0,340.0,1161.0,343.0,2,55200.0
